24.52,24.58,1
24.52,24.56,2
24.41,24.46,3
24.41,24.47,4
24.41,24.49,5
24.52,24.58,6
24.41,24.55,7
24.41,24.45,8
24.52,24.46,9
24.41,24.3,10
30.22,28.38,11
24.73,29.77,12
25.05,24.94,13
25.38,25.39,14
25.81,25.74,15
26.24,26.05,16
26.56,26.28,17
26.77,26.63,18
26.99,26.84,19
27.2,27.06,20
9.25,27.13,21
27.63,27.98,22
27.74,27.72,23
27.96,27.91,24
28.06,27.98,25
28.17,28.06,26
28.17,28.35,27
28.49,28.35,28
28.49,28.47,29
28.82,28.49,30
28.71,28.62,31
28.71,28.74,32
28.82,28.84,33
29.03,28.94,34
29.14,29.01,35
29.14,29.06,36
29.25,29.16,37
29.25,29.23,38
29.46,36.28,39
29.57,29.38,40
29.57,29.51,41
29.46,29.53,42
30,29.57,43
29.46,29.6,44
29.46,29.6,45
29.78,29.6,46
29.68,29.67,47
29.68,29.72,48
29.78,29.77,49
30,29.86,50
29.78,29.86,51
29.89,29.99,52
30.11,29.95,53
30.11,30.05,54
30,30.01,55
30.11,30.08,56
30,30.1,57
30,30.1,58
30.11,30.14,59
30.22,30.15,60
29.68,30.18,61
30.43,30.22,62
30.22,30.27,63
30.32,30.23,64
30.22,30.26,65
30.32,30.27,66
30.22,30.28,67